"","author","title","word","n"
"184","Twain, Mark","A Connecticut Yankee in King Arthur's Court","25",1
"185","Twain, Mark","A Connecticut Yankee in King Arthur's Court","250",1
"186","Twain, Mark","A Connecticut Yankee in King Arthur's Court","283",1
"187","Twain, Mark","A Connecticut Yankee in King Arthur's Court","29",1
"188","Twain, Mark","A Connecticut Yankee in King Arthur's Court","3",9
"189","Twain, Mark","A Connecticut Yankee in King Arthur's Court","3,000",2
"190","Twain, Mark","A Connecticut Yankee in King Arthur's Court","30",3
"191","Twain, Mark","A Connecticut Yankee in King Arthur's Court","32",3
"192","Twain, Mark","A Connecticut Yankee in King Arthur's Court","35",1
"193","Twain, Mark","A Connecticut Yankee in King Arthur's Court","360,000,000",1
"194","Twain, Mark","A Connecticut Yankee in King Arthur's Court","4",2
"195","Twain, Mark","A Connecticut Yankee in King Arthur's Court","4,000",1
"196","Twain, Mark","A Connecticut Yankee in King Arthur's Court","4.33",1
"197","Twain, Mark","A Connecticut Yankee in King Arthur's Court","40",1
"198","Twain, Mark","A Connecticut Yankee in King Arthur's Court","400",3
"199","Twain, Mark","A Connecticut Yankee in King Arthur's Court","42",1
"200","Twain, Mark","A Connecticut Yankee in King Arthur's Court","450",1
"201","Twain, Mark","A Connecticut Yankee in King Arthur's Court","46",1
"202","Twain, Mark","A Connecticut Yankee in King Arthur's Court","5",4
"203","Twain, Mark","A Connecticut Yankee in King Arthur's Court","500",1
"204","Twain, Mark","A Connecticut Yankee in King Arthur's Court","513",3
"205","Twain, Mark","A Connecticut Yankee in King Arthur's Court","528",2
"206","Twain, Mark","A Connecticut Yankee in King Arthur's Court","54",1
"207","Twain, Mark","A Connecticut Yankee in King Arthur's Court","6",3
"208","Twain, Mark","A Connecticut Yankee in King Arthur's Court","6,000",1
"209","Twain, Mark","A Connecticut Yankee in King Arthur's Court","60,000,000",1
"210","Twain, Mark","A Connecticut Yankee in King Arthur's Court","69.2.6",1
"211","Twain, Mark","A Connecticut Yankee in King Arthur's Court","7",2
"212","Twain, Mark","A Connecticut Yankee in King Arthur's Court","700",1
"213","Twain, Mark","A Connecticut Yankee in King Arthur's Court","8",3
"214","Twain, Mark","A Connecticut Yankee in King Arthur's Court","8.4.0",1
"215","Twain, Mark","A Connecticut Yankee in King Arthur's Court","800",4
"216","Twain, Mark","A Connecticut Yankee in King Arthur's Court","800,000",1
"217","Twain, Mark","A Connecticut Yankee in King Arthur's Court","9",2
"218","Twain, Mark","A Connecticut Yankee in King Arthur's Court","90,000",1
